question,document,score,reasoning
"I just found this course late — can I still join, or is it too late now?",74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: late joining is allowed, and certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent."
"If I start the course after it began, am I still eligible for a certificate?",74eb249bbf,good,"The AI answer preserves the key point from the ground truth: late joiners are still eligible for a certificate, but only if they submit their project while submissions are still being accepted. This is semantically equivalent."
"Do late joiners get the same access, or is there any deadline I should know about?",74eb249bbf,bad,"The ground truth says late joiners do get the same access, but there is a deadline for submitting a project if they want a certificate. The AI answer says 'I don't know,' which fails to convey this information and is incorrect/incomplete."
What do I need to do if I want a certificate after joining the course late?,74eb249bbf,good,"The AI answer includes the key requirement from the ground truth: to receive a certificate, you must submit your project while submissions are still being accepted. It adds extra conditions about finishing with the live cohort and peer-reviewing 3 capstone projects, but these do not conflict with the core answer. Since extra detail is allowed and the main point is preserved, the answers are semantically equivalent."
"Is it okay to enter the course now, and what matters most for getting certified?",74eb249bbf,bad,"The AI answer adds details that are not in the ground truth and changes the key condition for certification. The original says it is okay to enter now, but to get a certificate you only need to submit your project while submissions are open. The AI instead says certification requires completing the course with a live cohort, finishing the project and peer-reviewing 3 capstones, and that certificates are not awarded in self-paced mode. This is not semantically equivalent and introduces incorrect requirements."
"I signed up for LLM Zoomcamp, but I never got any confirmation email — does that mean I’m not in?",977bf7786c,good,"The AI answer preserves the core meaning of the ground truth: no confirmation email is needed, the student is accepted, registration is only for gauging interest, and they can still learn and submit homework while the form is open. This is semantically equivalent."
Do I actually need a registration or confirmation to start the LLM Zoomcamp and submit homework?,977bf7786c,good,"The AI answer matches the ground truth: it says registration/confirmation is not needed, the participant is accepted, homework can be submitted while the form is open, and registration is only for gauging interest. This preserves the key meaning fully."
"Is there some accepted list for the course, or can anyone just begin while the homework form is open?",977bf7786c,good,"The AI answer matches the ground truth: it says there is no checked accepted list, participants can start learning/submitting homework while the form is open, and registration is only to gauge interest. This preserves the key points without contradiction."
What’s the point of registering for LLM Zoomcamp if there’s no confirmation email sent out?,977bf7786c,good,"The AI answer matches the ground truth: registration is only to gauge interest, no confirmation email is needed, participants are already accepted, and homework can be started/submitted while the form is open without registration because there is no checked list."
"If I already registered for the course, do I still need to wait for anything before I start learning?",977bf7786c,good,"The AI answer captures the main point that the student can start learning right away and does not need to wait for confirmation or approval. However, it omits the key additional information that even without registering, they can still start learning and submit homework while the form is open, and that registration is only for gauging interest. Since the core question is about whether they need to wait, the answer is semantically equivalent enough."
How do I join the Office Hours or live workshop if I’m a student and don’t have the Zoom link?,489dd1c9d9,good,"The AI answer preserves the key points: students do not get the Zoom link, they should join via YouTube Live, use Slido for questions, find the stream URL in Telegram/Slack announcements before the session, and avoid posting questions in chat. This is semantically equivalent to the ground truth."
Where is the stream link for live sessions usually announced before it starts?,489dd1c9d9,good,"The AI answer captures the key point: the stream link is announced in the announcements channel on Telegram and Slack before the session starts. This matches the ground truth sufficiently, despite omitting extra details about YouTube Live, Zoom access, and Slido."
"If I want to ask a question during Office Hours, should I use chat or something else?",489dd1c9d9,good,"The AI answer matches the ground truth: students should use Slido rather than chat, the Zoom link is only for instructors/presenters/TAs, and questions in chat may be missed. It preserves the key information without contradiction."
Can students watch the live sessions on YouTube instead of Zoom?,489dd1c9d9,good,"The AI answer correctly states that students participate via YouTube Live and that the live/video URL is posted in Telegram and Slack before the session. It omits the detail that the Zoom link is only for instructors/presenters/TAs, the Slido question submission process, and the warning not to post questions in chat. However, it still answers the core question correctly: students can watch the live sessions via YouTube rather than Zoom."
Who actually gets access to the Zoom link for the live sessions?,489dd1c9d9,good,"The AI answer preserves the key point from the ground truth: the Zoom link is restricted to instructors/presenters/TAs, and students watch via YouTube Live. It omits some extra details about Slido, Telegram/Slack announcements, and chat behavior, but those are not necessary for answering the question asked."
Where do I begin if I want to take this course and what should I check first?,04919992b3,bad,"The AI answer does not match the ground truth. The original answer says to start with the LLM Zoomcamp docs, the general Zoomcamp logistics docs, and the LLM Zoomcamp GitHub repository, and explains the typical workflow plus that the course can be started anytime. The AI answer instead points to specific Module 1 cohort materials and homework instructions, which are not mentioned in the original and omits the key docs/logistics/course-platform guidance and workflow. This changes the substance of the answer."
"Can I start the LLM Zoomcamp whenever I want, or is there a fixed start date?",04919992b3,good,"The AI answer correctly states that there is no fixed start date and that you can start whenever you want. It also accurately mentions that the videos and GitHub materials are available and that homework deadlines are on the course platform. This matches the core of the ground truth, even though it omits the suggested workflow and extra links."
What’s the usual weekly routine for going through a lesson and homework?,04919992b3,good,"The AI answer matches the ground truth’s key workflow steps: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit before the deadline. It also correctly states that homework is similar to the lesson flow but may use a different dataset or slightly different task. It omits the introductory links and the note that you can start whenever you want, but those are not essential to the core question about the usual weekly routine."
"After watching the videos, what should I do next with the notebooks and GitHub materials?",04919992b3,good,"The AI answer captures the key workflow: continue with lesson notebooks/code, read homework instructions on GitHub, and submit through the course platform before the deadline. It also implies using the GitHub repository materials. It omits some introductory references to the docs and the note that homework may use a different dataset/task, but these are not essential to the question asked."
"How do homework tasks work here, and where do I submit them before the deadline?",04919992b3,bad,"The AI answer captures the key point about submitting homework through the course management platform before the deadline, but it introduces unsupported claims about homework being non-mandatory, leaderboard rank, late submissions, and no extensions. More importantly, it misses the original answer’s workflow details: watch videos, work through notebooks/code, read homework instructions on GitHub, and that homework follows the lesson flow with a different dataset or slightly different task. Because it omits core information and adds extra claims not in the ground truth, it is not semantically equivalent."
How do I find my name on the leaderboard if I can't see it right away?,c2903069a0,good,"The AI answer correctly identifies the key action for finding your name on the leaderboard: clicking “Jump to your record on the leaderboard.” This matches the ground truth’s main instruction. It omits the extra details about the automatically assigned random name and checking the display name via Edit Course Profile, but those are not necessary to answer the specific question asked."
Why does my leaderboard entry show some random nickname instead of my real name?,c2903069a0,good,"The AI answer captures the key idea that the leaderboard uses an anonymous/random display name by default and that the first field in Edit Course Profile controls the public leaderboard nickname. It also correctly notes that the certificate/official name is separate and not public. It omits the specific instruction to click 'Jump to your record on the leaderboard' and the explicit example/random name details, but those are not essential to the question."
Where can I check what my display name is for the course?,c2903069a0,good,"The AI answer correctly identifies that the display name can be checked in 'Edit Course Profile' and explains that the first field is the public/display name. This matches the key point of the ground truth, though it omits some extra details about the random assigned name and the second field/certificate name. Those omissions do not affect correctness for the asked question."
Can I change the name that shows up publicly in the leaderboard?,c2903069a0,good,"The AI answer captures the key point: the leaderboard/public name is the first field in Edit Course Profile and can be changed to a nickname/display name. It also correctly notes the second field is for the certificate name. This is semantically equivalent to the original answer, though it omits some extra specifics and context."
What should I edit if I want my certificate to show my real legal name instead of the default name?,c2903069a0,good,"The AI answer correctly identifies that the user should edit the Course Profile and change the second field to their official/legal name, which will appear on the certificate. This matches the ground truth key point, though it omits some extra context about the first field and default random name."
Can I take the course at my own pace and still get the certificate at the end?,69d122f12e,good,"The AI answer matches the ground truth: it says self-paced mode does not earn a certificate, and that certificates are only available when completing the course with a live cohort because peer-review of 3 capstones must happen while the course is running. This preserves the key conditions and rationale."
"If I do the course later on my own, is there any way to earn the certificate?",69d122f12e,good,"The AI answer matches the ground truth: it says certificates are only available with a live cohort, not self-paced, and explains the peer-review requirement during the course run. This preserves the key point and rationale."
Why isn’t there a certificate for the self-paced version of the course?,69d122f12e,good,"The AI answer preserves the key points: certificates are only for the live cohort, not self-paced; the reason is the need to peer-review 3 capstones; and peer review is only possible while the course is running before the form closes. This is semantically equivalent to the ground truth."
Do I need to join the live run in order to get the certificate?,69d122f12e,good,"The AI answer matches the core meaning of the ground truth: certificates are only awarded when finishing with a live cohort, not in self-paced mode. It omits the explanation about peer review, but that is additional detail rather than a required key point."
