question,document
"I just found this course late — can I still join, or is it too late now?",74eb249bbf
"If I start the course after it began, am I still eligible for a certificate?",74eb249bbf
"Do late joiners get the same access, or is there any deadline I should know about?",74eb249bbf
What do I need to do if I want a certificate after joining the course late?,74eb249bbf
"Is it okay to enter the course now, and what matters most for getting certified?",74eb249bbf
"I signed up for LLM Zoomcamp, but I never got any confirmation email — does that mean I’m not in?",977bf7786c
Do I actually need a registration or confirmation to start the LLM Zoomcamp and submit homework?,977bf7786c
"Is there some accepted list for the course, or can anyone just begin while the homework form is open?",977bf7786c
What’s the point of registering for LLM Zoomcamp if there’s no confirmation email sent out?,977bf7786c
"If I already registered for the course, do I still need to wait for anything before I start learning?",977bf7786c
How do I join the Office Hours or live workshop if I’m a student and don’t have the Zoom link?,489dd1c9d9
Where is the stream link for live sessions usually announced before it starts?,489dd1c9d9
"If I want to ask a question during Office Hours, should I use chat or something else?",489dd1c9d9
Can students watch the live sessions on YouTube instead of Zoom?,489dd1c9d9
Who actually gets access to the Zoom link for the live sessions?,489dd1c9d9
Where do I begin if I want to take this course and what should I check first?,04919992b3
"Can I start the LLM Zoomcamp whenever I want, or is there a fixed start date?",04919992b3
What’s the usual weekly routine for going through a lesson and homework?,04919992b3
"After watching the videos, what should I do next with the notebooks and GitHub materials?",04919992b3
"How do homework tasks work here, and where do I submit them before the deadline?",04919992b3
How do I find my name on the leaderboard if I can't see it right away?,c2903069a0
Why does my leaderboard entry show some random nickname instead of my real name?,c2903069a0
Where can I check what my display name is for the course?,c2903069a0
Can I change the name that shows up publicly in the leaderboard?,c2903069a0
What should I edit if I want my certificate to show my real legal name instead of the default name?,c2903069a0
Can I take the course at my own pace and still get the certificate at the end?,69d122f12e
"If I do the course later on my own, is there any way to earn the certificate?",69d122f12e
Why isn’t there a certificate for the self-paced version of the course?,69d122f12e
Do I need to join the live run in order to get the certificate?,69d122f12e
Is the certificate tied to the peer review part of the capstone project?,69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
"Is homework required to receive the course certificate, or is the capstone enough?",9f689c185f
Do I have to do all homework assignments to pass the course?,9f689c185f
How important is homework for the certificate compared to the Capstone project?,9f689c185f
"If homework is optional, what do the homework points affect in the course?",9f689c185f
Why does the homework keep changing before it’s released?,96286b4be4
What does it mean if a homework title has [DRAFT] in it?,96286b4be4
When can I be sure the homework is actually ready to do?,96286b4be4
"Can I start working on draft homework early, or could it still change later?",96286b4be4
How do I know the final homework version won’t be updated anymore?,96286b4be4
When is llm-zoomcamp going to be offered again next time?,bd31146b0e
Do you know the next run date for the course?,bd31146b0e
"Is there a planned future offering of this course, and if so when?",bd31146b0e
When should I expect the next session of llm-zoomcamp to start?,bd31146b0e
What’s the next time this course will be available?,bd31146b0e
Where can I find the lectures or videos for this course?,31456f4b5f
Is there a main place I should start instead of searching YouTube first?,31456f4b5f
How do I get to the lesson videos from the course materials?,31456f4b5f
Do the lesson pages include links to the videos somewhere at the top?,31456f4b5f
Should I rely on the GitHub repo or the YouTube playlist for the most up-to-date course videos?,31456f4b5f
"Where do I go to keep track of the LLM Zoomcamp syllabus, homework, and deadlines in one place?",20c5a1347e
Is there a course page or platform where I can see the current cohort structure and my progress?,20c5a1347e
How do I follow the LLM Zoomcamp schedule and check upcoming deadlines?,20c5a1347e
What should I use to manage homework and monitor progress for this Zoomcamp?,20c5a1347e
"Does LLM Zoomcamp have a central site for syllabus, deadlines, and course tracking like the other DataTalks.Club zoomcamps?",20c5a1347e
Do we get live classes or office hours for every module in this course?,d65e05bd7a
"If modules are pre-recorded, how do I ask questions when I get stuck?",d65e05bd7a
"Are there any scheduled live sessions, or are they only announced when available?",d65e05bd7a
"Is extra help like regular Zoom office hours available anywhere, maybe as a paid option?",d65e05bd7a
"Does the free course include office hours, or is that only part of the optional community support?",d65e05bd7a
Can I count my Bluesky posts toward learning in public credits for the course?,dbf5369006
Are Bluesky posts accepted as part of the learning in public requirement?,dbf5369006
"If I share course progress on Bluesky, does that qualify for learning in public credits?",dbf5369006
Is Bluesky one of the platforms I can use to earn learning in public credit?,dbf5369006
Do Bluesky updates about the course count for the public learning credits?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the link to the course Telegram group?,054f3fd58f
Where do I find the LLM Zoomcamp Telegram channel for announcements?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c
