question,answer_llm,answer_orig,document
"I just found this course late — can I still join, or is it too late now?","Yes, you can still join. If you want a certificate, make sure you submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I start the course after it began, am I still eligible for a certificate?","Yes — you can still join after the course has started, and you can still get a certificate **if you submit your project while submissions are still open**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Do late joiners get the same access, or is there any deadline I should know about?",I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do if I want a certificate after joining the course late?,"If you joined late and want a certificate, you need to **submit your project while the course is still accepting submissions**.  

Also, certificates are only awarded if you **finish with the live cohort**, because you must **peer-review 3 capstone projects** after submitting your own project.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Is it okay to enter the course now, and what matters most for getting certified?","Yes — you can start the course anytime; the videos, GitHub materials, and homework are available.

For getting certified, the most important thing is to complete the course with a live cohort. You need to finish the project and peer-review 3 capstones while the course is running. Certificates are not awarded in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for LLM Zoomcamp, but I never got any confirmation email — does that mean I’m not in?","No — you’re accepted. You don’t need a confirmation email, and registration is only used to gauge interest. You can start learning and submit homework while the form is open, even without being checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need a registration or confirmation to start the LLM Zoomcamp and submit homework?,"No, you don’t need a registration confirmation to start the LLM Zoomcamp or submit homework.

You’re accepted, and registration is only used to gauge interest. You can start learning and submit homework while the form is open, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there some accepted list for the course, or can anyone just begin while the homework form is open?","You can just begin while the homework form is open. There isn’t a checked accepted list for starting the course—registration is only to gauge interest, and you’re considered accepted.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering for LLM Zoomcamp if there’s no confirmation email sent out?,"The point is just to gauge interest before the start date. You’re already accepted, and no confirmation email is needed.

You can also start learning and submitting homework while the form is open, even without registering, because registration is not checked against a list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I already registered for the course, do I still need to wait for anything before I start learning?",You can start learning right away — you don’t need to wait for any confirmation email or approval.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if I’m a student and don’t have the Zoom link?,"If you’re a student, you don’t need the Zoom link. Join via **YouTube Live** instead, and submit questions through **Slido** when the session is live.

Where to find it:
- The live video URL is posted in the **announcements channel on Telegram and Slack** before the session starts.
- You can also watch on the **DataTalksClub YouTube Channel**.

Don’t post questions in chat, since they may be missed if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where is the stream link for live sessions usually announced before it starts?,The stream link is usually posted in the announcements channel on Telegram and Slack before it starts.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If I want to ask a question during Office Hours, should I use chat or something else?","Use **Slido**, not chat.

For Office Hours / live sessions, the **Zoom link is only for instructors/presenters/TAs**, and **students submit questions via Slido**. The Slido link is pinned in the chat when the session is live. Also, **don’t post questions in chat**, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Can students watch the live sessions on YouTube instead of Zoom?,"Yes. Students participate via YouTube Live, and the live/video URL is posted in the announcements channel on Telegram and Slack before the session begins.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
